Age,Gender,Education,Live with,Conflict with law,Most used drugs,Motive about drug,motivation by friends,Spend most time,Mental/emotional problem,Suicidal thoughts,Family relationship,Financials of family,Addicted person in family,no. of friends,Withdrawal symptoms,Satisfied with workplace,Case in court,Living with drug user,Smoking,Easy to control use of drug,Frequency of drug usage,Taken drug while experiencing stress
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,Yes,"Weed,Yaba,Alcohol","Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,"Alcohol,Cigarette,others","Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),No,No,No,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,"Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,"Disease, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,"Cigarette,Cocaine","Disease, Should avoid","Yes, often they do",Friends,Tension/Anxiety,No,Average,Solvent,No,Many (more than 5),Yes,No,No,Yes,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Female,Undergraduate,Hostel/Hall,Yes,Yaba,"Disease, Social trend","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger, Others",Yes,Average,Medium,Not sure,Many (more than 5),Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Male,H.S.C / A levels,With Family/Relatives,Yes,"Alcohol,Weed,Others",Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Communcaiton gap,Rich / Strong,Not sure,Many (more than 5),Yes,No,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,S.S.C /O levels,With Family/Relatives,Yes,"Heroin,Others","Disease, Social trend","Yes, often they do",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger, Others",Yes,Communcaiton gap,Poor / weak,Not sure,None,Yes,No,Yes,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 35 to 48,Male,Undergraduate,With Family/Relatives,Yes,"Phensedyl,Alcohol,Weed,Cocain",Social trend,"Yes, often they do",Friends,"Tension/Anxiety, Others",No,Average,Rich / Strong,Not sure,Many (more than 5),I have no idea,Yes,No,Yes,"Yes, every day.","No, It's not possible",Regularly,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,No,I don't take drugs,"Disease, Social trend","No, they don't",Friends,Depression/ inferiority/Guilt,No,Satisfactory,Medium,No,Many (more than 5),Yes,No,No,Yes,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,"Disease, Social trend","No, they don't",Family/ Relatives,"Depression/ inferiority/Guilt, Anger",Yes,Satisfactory,Medium,No,Few (1-4),Yes,No,Yes,No,"Yes, occasionally","No, It's not possible",Once/twice a week,No
between 35 to 48,Male,Undergraduate,With Family/Relatives,Yes,Alcohol,"Social trend, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Others",Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
between 22 to 35 years,Female,S.S.C /O levels,Hostel/Hall,No,Alchohol,"Disease, Social trend","No, they don't",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Satisfactory,Poor / weak,No,Few (1-4),Yes,Yes,Yes,No,"Yes, occasionally","No, It's not possible",Regularly,No
between 35 to 48,Female,H.S.C / A levels,Hostel/Hall,Yes,"Yaba,Cigarette,Others","Disease, Should avoid","No, they don't",Friends,"Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 35 to 48,Male,Undergraduate,With Family/Relatives,Yes,Phensedyl,"Disease, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",Yes,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 35 to 48,Male,H.S.C / A levels,With Family/Relatives,Yes,"Weed,Heroin","Disease, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",Yes,Satisfactory,Medium,No,Few (1-4),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Female,Undergraduate,With Family/Relatives,Yes,"Cigarette,Weed,Heroin","Disease, Social trend","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",Yes,Average,Poor / weak,No,Few (1-4),No,Yes,Yes,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,Yes
between 22 to 35 years,Female,Undergraduate,With Family/Relatives,Yes,"Alcohol,Yaba,Weed","Social trend, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Solvent,Yes,Many (more than 5),Yes,Yes,Yes,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 35 to 48,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,"Social trend, Should avoid","No, they don't",Friends,"Depression/ inferiority/Guilt, Anger",Yes,Average,Medium,Yes,Many (more than 5),I have no idea,Yes,Yes,Yes,"No, I don't","Yes, It's possible",Occasionally,No
between 35 to 48,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,"Disease, Should avoid","Yes, often they do",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety",No,Average,Solvent,Yes,Many (more than 5),No,Yes,Yes,Yes,"Yes, occasionally","Yes, It's possible",Occasionally,No
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,Yes,"Cigarette,Heroin,Cocaine,Weed","Social trend, Should avoid","Yes, often they do",Friends,"Anger, Others",Yes,Average,Solvent,Yes,Many (more than 5),No,Yes,Yes,Yes,"Yes, occasionally","No, It's not possible",Once/twice a week,Yes
between 35 to 48,Female,Undergraduate,With Family/Relatives,Yes,"Phensedyl,Others","Social trend, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",Yes,Satisfactory,Medium,Yes,Many (more than 5),No,Yes,Yes,Yes,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Female,Undergraduate,With Family/Relatives,Yes,"Cocaine,Alcohol","Disease, Social trend","Yes, often they do",Friends,"Tension/Anxiety, Anger",Yes,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,Yes,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Female,Undergraduate,With Family/Relatives,Yes,"Weed,Yaba,Others","Social trend, Should avoid","Yes, often they do",Friends,"Tension/Anxiety, Anger",Yes,Average,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Male,H.S.C / A levels,Hostel/Hall,Yes,"Cigarette,Alcohol,others",Social trend,"Yes, often they do",Friends,"Tension/Anxiety, Anger",No,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Disease,"No, they don't",Friends,"Tension/Anxiety, Others",No,Average,Rich / Strong,Yes,Few (1-4),I have no idea,Yes,Yes,Yes,"Yes, every day.","No, It's not possible",Regularly,No
above 48,Female,S.S.C /O levels,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Average,Solvent,Not sure,Many (more than 5),No,No,Yes,Not sure,"Yes, occasionally","No, It's not possible",Never/ Not applicable,No
between 35 to 48,Male,Primary Education,With Family/Relatives,Yes,"Weed,Alcohol,Others","Disease, Social trend","No, they don't",Alone,"Depression/ inferiority/Guilt, Tension/Anxiety, Anger",Yes,Average,Poor / weak,No,Few (1-4),No,Yes,Yes,No,"Yes, occasionally","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Female,H.S.C / A levels,Hostel/Hall,No,I don't take drugs,Social trend,"No, they don't",Friends,"Tension/Anxiety, Anger",Yes,Satisfactory,Poor / weak,Yes,Few (1-4),No,Yes,Yes,Yes,"Yes, occasionally","Yes, It's possible",Regularly,No
15 to 22 years,Female,S.S.C /O levels,Hostel/Hall,Yes,Yaba,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Satisfactory,Medium,Yes,Few (1-4),No,No,Yes,Yes,"Yes, every day.","Yes, It's possible",Regularly,Yes
15 to 22 years,Female,H.S.C / A levels,Hostel/Hall,Yes,Weed,Social trend,"Yes, often they do",Friends,Others,No,Average,Medium,Yes,Many (more than 5),Yes,Yes,Yes,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Phensedyl,Should avoid,"Yes, often they do",Family/ Relatives,"Depression/ inferiority/Guilt, Others",Yes,Satisfactory,Solvent,Yes,None,I have no idea,No,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 35 to 48,Male,H.S.C / A levels,With Family/Relatives,Yes,Alcohol,"Disease, Social trend, Should avoid","No, they don't",Alone,"Depression/ inferiority/Guilt, Anger",No,Average,Medium,No,Few (1-4),No,Yes,No,No,"No, I don't","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,Yes,Cocaine,"Disease, Social trend, Should avoid","No, they don't",Friends,"Anger, Others",No,Average,Medium,No,Many (more than 5),No,No,Yes,No,"Yes, every day.","Yes, It's possible",Once/twice a week,Yes
15 to 22 years,Male,S.S.C /O levels,With Family/Relatives,Yes,Others,Social trend,"Yes, often they do",Alone,"Depression/ inferiority/Guilt, Others",No,Communcaiton gap,Solvent,Not sure,None,No,No,No,Not sure,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 35 to 48,Male,Undergraduate,With Family/Relatives,Yes,Alcohol,"Disease, Social trend","Yes, often they do",Family/ Relatives,"Tension/Anxiety, Anger, Others",No,Satisfactory,Rich / Strong,Yes,Few (1-4),I have no idea,Yes,No,Yes,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Female,Undergraduate,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,Depression/ inferiority/Guilt,Yes,Average,Medium,No,None,I have no idea,No,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,I don't take drugs,Should avoid,"Yes, often they do",Friends,Tension/Anxiety,No,Satisfactory,Medium,No,Few (1-4),I have no idea,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Male,Undergraduate,With Family/Relatives,Yes,Yaba,Social trend,"Yes, often they do",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),No,Yes,No,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
15 to 22 years,Male,Undergraduate,Hostel/Hall,Yes,Weed,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Few (1-4),No,No,No,No,"Yes, every day.","No, It's not possible",Occasionally,Yes
15 to 22 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Anger,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Postgraduate (MSc/PhD),Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Alone,Tension/Anxiety,No,Average,Medium,No,Few (1-4),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
between 35 to 48,Male,Postgraduate (MSc/PhD),With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/Relatives,Yes,Others,Social trend,"No, they don't",Family/ Relatives,Depression/ inferiority/Guilt,No,Satisfactory,Rich / Strong,No,Many (more than 5),Yes,Yes,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
15 to 22 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Friends,Anger,No,Satisfactory,Medium,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Anger,No,Satisfactory,Medium,No,Many (more than 5),No,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Alcohol,Disease,"No, they don't",Alone,Depression/ inferiority/Guilt,Yes,Average,Medium,Yes,Few (1-4),Yes,No,No,Yes,"Yes, every day.","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Male,H.S.C / A levels,With Family/Relatives,Yes,"Cocaine,Weed,Yaba",Social trend,"Yes, often they do",Friends,"Anger, Others",No,Average,Solvent,No,Many (more than 5),No,Yes,No,No,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,Hostel/Hall,Yes,Others,"Disease, Social trend","No, they don't",Alone,Others,No,Average,Solvent,Not sure,Many (more than 5),I have no idea,No,No,Not sure,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
15 to 22 years,Male,S.S.C /O levels,With Family/Relatives,Yes,Others,Social trend,"Yes, often they do",Friends,"Depression/ inferiority/Guilt, Anger, Others",No,Average,Medium,Not sure,Many (more than 5),I have no idea,Yes,No,Not sure,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
between 35 to 48,Male,Undergraduate,With Family/Relatives,Yes,"Alcohol,Others","Disease, Social trend","Yes, often they do",Family/ Relatives,None,No,Average,Medium,Not sure,Many (more than 5),No,Yes,No,Not sure,"Yes, occasionally","Yes, It's possible",Occasionally,Yes
15 to 22 years,Female,S.S.C /O levels,Hostel/Hall,Yes,Others,Should avoid,"No, they don't",Friends,"Depression/ inferiority/Guilt, Tension/Anxiety, Others",No,Communcaiton gap,Solvent,No,Few (1-4),No,No,No,No,"Yes, every day.","No, It's not possible",Once/twice a week,Yes
between 22 to 35 years,Male,Primary Education,With Family/Relatives,Yes,Phensedyl,Social trend,"No, they don't",Alone,None,No,Communcaiton gap,Poor / weak,Not sure,None,No,No,Yes,Not sure,"Yes, every day.","No, It's not possible",Regularly,Yes
between 35 to 48,Male,H.S.C / A levels,With Family/Relatives,No,I don't take drugs,Social trend,"No, they don't",Family/ Relatives,None,No,Satisfactory,Solvent,Not sure,None,I have no idea,Yes,No,Not sure,"Yes, every day.","Yes, It's possible",Occasionally,No
between 22 to 35 years,Female,Undergraduate,With Family/Relatives,Yes,"Heroin,Weed,Others",Social trend,"No, they don't",Friends,"Anger, Others",No,Average,Solvent,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Once/twice a week,Yes
between 22 to 35 years,Female,Undergraduate,With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,Yes,Many (more than 5),I have no idea,Yes,No,Yes,"No, I don't","No, It's not possible",Never/ Not applicable,No
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Weed,Social trend,"No, they don't",Friends,"Tension/Anxiety, Anger",No,Average,Solvent,Not sure,Many (more than 5),I have no idea,Yes,No,Not sure,"Yes, every day.","No, It's not possible",Regularly,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,Yes,Cocaine,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,Yes,Average,Medium,No,Many (more than 5),No,Yes,No,No,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Male,Undergraduate,With Family/Relatives,Yes,Alcohol,Should avoid,"No, they don't",Alone,Depression/ inferiority/Guilt,Yes,Average,Medium,Yes,Few (1-4),Yes,Yes,Yes,Yes,"Yes, every day.","Yes, It's possible",Occasionally,Yes
between 22 to 35 years,Female,Postgraduate (MSc/PhD),With Family/Relatives,No,I don't take drugs,Should avoid,"No, they don't",Family/ Relatives,Tension/Anxiety,No,Satisfactory,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"No, I don't","Yes, It's possible",Never/ Not applicable,No
15 to 22 years,Female,H.S.C / A levels,Hostel/Hall,Yes,Yaba,Social trend,"Yes, often they do",Friends,Depression/ inferiority/Guilt,No,Average,Medium,Yes,Many (more than 5),Yes,Yes,No,Yes,"Yes, occasionally","No, It's not possible",Occasionally,Yes
between 22 to 35 years,Male,Postgraduate (MSc/PhD),With Family/Relatives,Yes,"Cigarette,Alcohol,others",Should avoid,"No, they don't",Family/ Relatives,Depression/ inferiority/Guilt,Yes,Average,Rich / Strong,No,Many (more than 5),Yes,Yes,No,No,"Yes, every day.","Yes, It's possible",Never/ Not applicable,Yes
15 to 22 years,Male,H.S.C / A levels,Hostel/Hall,No,I don't take drugs,Should avoid,"No, they don't",Friends,Anger,No,Average,Rich / Strong,No,Many (more than 5),I have no idea,Yes,No,No,"Yes, occasionally","Yes, It's possible",Never/ Not applicable,No
